start time,1632908804.270823
times of actions,"[[0, 0.0029985904693603516], [1, 0.19404077529907227], [0, 0.006002902984619141], [1, 0.214829683303833], [0, 0.006047487258911133], [1, 0.14700055122375488], [0, 0.003995418548583984], [1, 0.1589958667755127], [0, 0.005002021789550781], [1, 0.16099905967712402], [0, 0.003999948501586914], [1, 0.16904187202453613], [0, 0.004896402359008789], [1, 0.2219991683959961], [0, 0.003998756408691406], [1, 0.6479933261871338], [0, 0.005002021789550781], [1, 0.5740036964416504], [0, 0.006002902984619141], [1, 0.5330498218536377], [0, 0.004998445510864258], [1, 0.4219987392425537], [0, 0.00899958610534668], [1, 0.40581488609313965], [0, 0.009999513626098633], [1, 0.2780029773712158]]"
winner,blue
game,36
iterations,16
times of actions,"[[0, 0.0031647682189941406], [1, 0.26599955558776855], [0, 0.004731416702270508], [1, 0.34400224685668945], [0, 0.004999637603759766], [1, 0.5860002040863037], [0, 0.0049991607666015625], [1, 0.5900070667266846], [0, 0.006001949310302734], [1, 0.557037353515625], [0, 0.004999399185180664], [1, 0.46799659729003906], [0, 0.005880594253540039], [1, 0.4199638366699219], [0, 0.008997917175292969], [1, 0.2970390319824219]]"
winner,blue
game,37
iterations,28
times of actions,"[[0, 0.0020105838775634766], [1, 0.16499805450439453], [0, 0.0040035247802734375], [1, 0.16937017440795898], [0, 0.0029463768005371094], [1, 0.22275853157043457], [0, 0.005997657775878906], [1, 0.39487481117248535], [0, 0.003999471664428711], [1, 0.3953254222869873], [0, 0.004003047943115234], [1, 0.46099090576171875], [0, 0.003999948501586914], [1, 0.5370035171508789], [0, 0.0049991607666015625], [1, 0.5339984893798828], [0, 0.006000041961669922], [1, 0.544003963470459], [0, 0.004999399185180664], [1, 0.5679991245269775], [0, 0.0050008296966552734], [1, 0.5580000877380371], [0, 0.006999492645263672], [1, 0.564995527267456], [0, 0.00600123405456543], [1, 0.3780033588409424], [0, 0.005000114440917969], [1, 0.2970438003540039]]"
winner,blue
game,38
iterations,20
times of actions,"[[0, 0.002966642379760742], [1, 0.22632384300231934], [0, 0.004999876022338867], [1, 0.254000186920166], [0, 0.004999637603759766], [1, 0.25999927520751953], [0, 0.004999399185180664], [1, 0.2720005512237549], [0, 0.0050013065338134766], [1, 0.34999704360961914], [0, 0.010001659393310547], [1, 0.6726508140563965], [0, 0.005998849868774414], [1, 0.601036787033081], [0, 0.009999752044677734], [1, 0.5790038108825684], [0, 0.0069997310638427734], [1, 0.54599928855896], [0, 0.005999565124511719], [1, 0.4910001754760742]]"
winner,blue
game,39
iterations,22
times of actions,"[[0, 0.0029942989349365234], [1, 0.21499967575073242], [0, 0.004928112030029297], [1, 0.24594330787658691], [0, 0.005000114440917969], [1, 0.2810041904449463], [0, 0.005963325500488281], [1, 0.34803199768066406], [0, 0.008998870849609375], [1, 0.5940036773681641], [0, 0.007001161575317383], [1, 0.5910031795501709], [0, 0.009962320327758789], [1, 0.5869956016540527], [0, 0.004957914352416992], [1, 0.5633547306060791], [0, 0.01043701171875], [1, 0.4699828624725342], [0, 0.00600123405456543], [1, 0.42200350761413574], [0, 0.010003328323364258], [1, 0.29398179054260254]]"
winner,blue
game,40
iterations,24
times of actions,"[[0, 0.002003908157348633], [1, 0.159010648727417], [0, 0.004999637603759766], [1, 0.16199851036071777], [0, 0.004001140594482422], [1, 0.17000055313110352], [0, 0.003000497817993164], [1, 0.32804036140441895], [0, 0.0049991607666015625], [1, 0.5879988670349121], [0, 0.012004375457763672], [1, 0.7580409049987793], [0, 0.011960983276367188], [1, 0.6970028877258301], [0, 0.009945154190063477], [1, 0.5939996242523193], [0, 0.010999917984008789], [1, 0.5539953708648682], [0, 0.009958982467651367], [1, 0.4570026397705078], [0, 0.005959033966064453], [1, 0.48696446418762207], [0, 0.011998891830444336], [1, 0.362992525100708]]"
winner,blue
game,41
iterations,9
times of actions,"[[0, 0.003999948501586914], [1, 0.14596295356750488], [0, 0.006001472473144531], [1, 0.15799903869628906], [0, 0.004999637603759766], [1, 0.2320406436920166], [0, 0.005961418151855469], [1, 0.24596595764160156], [0, 0.0060024261474609375], [1, 0.24299955368041992]]"
winner,none
game,42
iterations,18
times of actions,"[[0, 0.002981424331665039], [1, 0.2499995231628418], [0, 0.00500178337097168], [1, 0.3380429744720459], [0, 0.009999990463256836], [1, 0.6020002365112305], [0, 0.006001710891723633], [1, 0.5710430145263672], [0, 0.00999903678894043], [1, 0.6440033912658691], [0, 0.007001638412475586], [1, 0.42999911308288574], [0, 0.004000186920166016], [1, 0.3479902744293213], [0, 0.0040013790130615234], [1, 0.42599964141845703], [0, 0.006000995635986328], [1, 0.3149995803833008]]"
winner,blue
game,43
iterations,28
times of actions,"[[0, 0.0030019283294677734], [1, 0.14504194259643555], [0, 0.00500178337097168], [1, 0.23000311851501465], [0, 0.0049974918365478516], [1, 0.23100805282592773], [0, 0.005001544952392578], [1, 0.2499992847442627], [0, 0.00500178337097168], [1, 0.26103901863098145], [0, 0.0049991607666015625], [1, 0.2670004367828369], [0, 0.004960298538208008], [1, 0.33699798583984375], [0, 0.008998632431030273], [1, 0.5909981727600098], [0, 0.011001110076904297], [1, 0.5970373153686523], [0, 0.006001949310302734], [1, 0.5939962863922119], [0, 0.006000995635986328], [1, 0.5599987506866455], [0, 0.009998798370361328], [1, 0.47205400466918945], [0, 0.00599980354309082], [1, 0.4180021286010742], [0, 0.0049991607666015625], [1, 0.295046329498291]]"
winner,blue
game,44
iterations,16
times of actions,"[[0, 0.0029578208923339844], [1, 0.28096532821655273], [0, 0.007061958312988281], [1, 0.3396484851837158], [0, 0.01000070571899414], [1, 0.6929991245269775], [0, 0.00576019287109375], [1, 0.6658403873443604], [0, 0.006357431411743164], [1, 0.589998722076416], [0, 0.0050013065338134766], [1, 0.4790034294128418], [0, 0.005998134613037109], [1, 0.42999792098999023], [0, 0.004999399185180664], [1, 0.29399919509887695]]"
winner,blue
game,45
iterations,32
times of actions,"[[0, 0.003000497817993164], [1, 0.16096162796020508], [0, 0.0070018768310546875], [1, 0.2719993591308594], [0, 0.005998373031616211], [1, 0.29600048065185547], [0, 0.010996580123901367], [1, 0.2830367088317871], [0, 0.011001110076904297], [1, 0.2770402431488037], [0, 0.004999399185180664], [1, 0.2909986972808838], [0, 0.009999275207519531], [1, 0.3470427989959717], [0, 0.011001348495483398], [1, 0.600003719329834], [0, 0.011002779006958008], [1, 0.5849995613098145], [0, 0.005033254623413086], [1, 0.5830020904541016], [0, 0.005001544952392578], [1, 0.5869925022125244], [0, 0.0049991607666015625], [1, 0.5719983577728271], [0, 0.006000041961669922], [1, 0.5039961338043213], [0, 0.0049974918365478516], [1, 0.45599818229675293], [0, 0.005000114440917969], [1, 0.3509969711303711], [0, 0.010000944137573242], [1, 0.28899717330932617]]"
winner,blue
game,46
iterations,16
